"Rowid","ITEM ID","Item Title","Price","Leaf Category URL","Seller",
"0","381671153192","US Plug AC 250V/110V Clear Table Lamp Power Cable 6Ft Dimmer Switch New","10.48","http://www.ebay.com/sch/Other Electrical Switches/181854/i.html","fanteller",
"1","282102298400","Flex Seal 14oz 2 cans New","29.94","http://www.ebay.com/sch/Sealant & Adhesives/66914/i.html","fanteller",
"2","282069184403","Vision Bird Cage Model L01 - Large New","97.29","http://www.ebay.com/sch/Cages/46289/i.html","fanteller",
"3","351554735195","Rola-Chem Scumbug Oil Absorbing Sponge  1 CT New","8.85","http://www.ebay.com/sch/Every Other Thing/88433/i.html","fanteller",
"4","351432373573","Natural  Healthy  Fat Free Dog Treats  Controls Weight  Made in USA (8 Oz.) New","12.99","http://www.ebay.com/sch/Dog Chews & Treats/77664/i.html","fanteller",
"5","351655571144","Bremenn Research Labs Hylexin Eye Treatment-0.5 oz New","48.38","http://www.ebay.com/sch/Anti-Aging Products/33164/i.html","fanteller",
"6","381337209468","Kurt Adler UL 12-Inch 35-Light Clear Crystal Snowflake with Cool White LED New","31.28","http://www.ebay.com/sch/Lights/7269/i.html","fanteller",
"7","281755163896","Biore Pore Perfect Deep Cleansing Pore Strips   8 strips New","10.85","http://www.ebay.com/sch/Acne & Blemish Treatments/29618/i.html","fanteller",
"8","381442763689","GE 14444 Six-Outlet Polarized Grounded Power Tap Night Light  White New","11.38","http://www.ebay.com/sch/Surge Protectors  Power Strips/67779/i.html","fanteller",
"9","281728994975","Kiinde 2 Piece Squeeze Spoon New","8.98","http://www.ebay.com/sch/Breastfeeding Supplies/20406/i.html","fanteller",
"10","281728995360","Yakima Q-118 Clip for Yakima Q Tower Roof Rack System New","42.37","http://www.ebay.com/sch/Other Bicycle Accessories/158998/i.html","fanteller",
"11","381303087221","Tadpoles 16 Sq Ft Playmat Set  Taupe/Brown New","35.3","http://www.ebay.com/sch/Mats & Rugs/37632/i.html","fanteller",
"12","351460880092","The First Years Disney Doc Mc Stuffins Insulated Sippy Cup  9 Ounce (Color and","16.44","http://www.ebay.com/sch/Sippy Cups & Mugs/117387/i.html","fanteller",
"13","351460882019","Hand and Foot Teethers New","10.49","http://www.ebay.com/sch/Teethers/121627/i.html","fanteller",
"14","381337218565","MIMOS Baby Pillow (XXL) - Air flow Safety ( TUV certification) - Size XXL (5-","142.6","http://www.ebay.com/sch/Filters & Lubricators/56991/i.html","fanteller",
"15","351432393716","Tetra 25994 Bio Foam Grid Replacement Kit with Whisper 30/40/60 Power Filter New","14.67","http://www.ebay.com/sch/Filters/46310/i.html","fanteller",
"16","281729001331","Clean & Easy Wax Refill 6-pack Large Vitamin E  Net Wt. 16.8 oz New","15.19","http://www.ebay.com/sch/Waxing Supplies/82565/i.html","fanteller",
"17","281755176499","Northpoint 190503 AM/FM Vintage Radio New","12.29","http://www.ebay.com/sch/Portable Stereos  Boomboxes/48626/i.html","fanteller",
"18","381368537022","Cellularvilla Leather Case For Samsung Galaxy Tab 4 7" Inch SM-T230 Tablet New","15.2","http://www.ebay.com/sch/Cases  Covers  Keyboard Folios/176973/i.html","fanteller",
"19","281729003614","Cable Matters Active Micro HDMI to VGA Adapter with Micro-USB Power in Black New","34.31","http://www.ebay.com/sch/Video Cables & Interconnects/32834/i.html","fanteller",
"20","351460885586","Sweet Potato Swizzle Diaper Stacker  Pink/Grey/White New","43.43","http://www.ebay.com/sch/Diaper Stackers/134758/i.html","fanteller",
"21","281755184015","My Baby Sam Pixie Baby Mobile  Aqua New","47.89","http://www.ebay.com/sch/Mobiles/20429/i.html","fanteller",
"22","351432401904","Jacobson Hat Co. Inc. J19622 Adult Gator Hat New","13.98","http://www.ebay.com/sch/Hats & Headgear/155349/i.html","fanteller",
"23","381735934996","McFarlane Toys Classic Hockey Goal Display Set New","63.1","http://www.ebay.com/sch/Goals & Nets/165936/i.html","fanteller",
"24","381703155338","Waist Trimmer  Danibos Adjustable Trim Belt Lose Weight Lower Back & Lumbar New","34.22","http://www.ebay.com/sch/Other Weight Management/11781/i.html","fanteller",
"25","281833046093","Pet Dog Yellowgreen Ball Rubber Squeak Squeaker Chew Toss Toy New","8.43","http://www.ebay.com/sch/Toys/177791/i.html","fanteller",
