"Rowid","ASIN","Product Title","Cost","Availability","Rowid","ITEM ID","Item Title","Price","Leaf Category URL","Seller",
"0","B003DIIBXE","Schick Intuition Plus Renewing Moisture Razor Refill - Pomegranate","11.75"," In Stock. ","0","381671153192","US Plug AC 250V/110V Clear Table Lamp Power Cable 6Ft Dimmer Switch New","10.48","http://www.ebay.com/sch/Other Electrical Switches/181854/i.html","fanteller",
"1","B005K0BAZO","Melissa  Doug Rainbow Mini Scratch Art Notes","1.49"," In Stock. ","1","282102298400","Flex Seal 14oz 2 cans New","29.94","http://www.ebay.com/sch/Sealant & Adhesives/66914/i.html","fanteller",
"2","B00L1GWZWI","Earhoox for EarPods - Compatible with iPhone 6/6+/5/5S/5C - White","9.99"," In Stock. ","2","282069184403","Vision Bird Cage Model L01 - Large New","97.29","http://www.ebay.com/sch/Cages/46289/i.html","fanteller",
"3","B000VJ0CDU","HP 10s Scientific Calculator (F2214AA#AK6)","8.94"," In Stock. ","3","351554735195","Rola-Chem Scumbug Oil Absorbing Sponge  1 CT New","8.85","http://www.ebay.com/sch/Every Other Thing/88433/i.html","fanteller",
"4","B000NIZYIW","Soft 'N Style Applicator Bottle  6 oz","4.90"," In Stock. ","4","351432373573","Natural  Healthy  Fat Free Dog Treats  Controls Weight  Made in USA (8 Oz.) New","12.99","http://www.ebay.com/sch/Dog Chews & Treats/77664/i.html","fanteller",
"5","B00FG7MSAC","Microsoft Surface Type Cover 2 (Purple)","27.84"," In Stock. ","5","351655571144","Bremenn Research Labs Hylexin Eye Treatment-0.5 oz New","48.38","http://www.ebay.com/sch/Anti-Aging Products/33164/i.html","fanteller",
"6","B00M9TD584","Assassin's Creed Rogue- PlayStation 3","1059"," In Stock. ","6","381337209468","Kurt Adler UL 12-Inch 35-Light Clear Crystal Snowflake with Cool White LED New","31.28","http://www.ebay.com/sch/Lights/7269/i.html","fanteller",
"7","B0161JIJHE","KoreaTrends 3D Roller Face Massager  Body Face Massager  (Silver)","8.57"," In Stock. ","7","281755163896","Biore Pore Perfect Deep Cleansing Pore Strips   8 strips New","10.85","http://www.ebay.com/sch/Acne & Blemish Treatments/29618/i.html","fanteller",
"8","B002A5OLHQ","Arko Shaving Soap Stick","5.25"," Only 4 left in stock. ","8","381442763689","GE 14444 Six-Outlet Polarized Grounded Power Tap Night Light  White New","11.38","http://www.ebay.com/sch/Surge Protectors  Power Strips/67779/i.html","fanteller",
"9","B000IGW784","Uni-posca Pc8k8c Paint Marker Pen Bold Point Set of 8 (japan import)","20.90"," Only 4 left in stock. ","9","281728994975","Kiinde 2 Piece Squeeze Spoon New","8.98","http://www.ebay.com/sch/Breastfeeding Supplies/20406/i.html","fanteller",
"10","B000PW18IQ","POOF Hot Ropes 2-Pack Double Dutch Jump Ropes","3.24"," In Stock. ","10","281728995360","Yakima Q-118 Clip for Yakima Q Tower Roof Rack System New","42.37","http://www.ebay.com/sch/Other Bicycle Accessories/158998/i.html","fanteller",
"11","B001E0WDV4","Natrol Biotin tablets  1000 mcg  100 count  (pack of 2)","10.85"," In Stock. ","11","381303087221","Tadpoles 16 Sq Ft Playmat Set  Taupe/Brown New","35.3","http://www.ebay.com/sch/Mats & Rugs/37632/i.html","fanteller",
"12","B00NH5ZXR0","Caudabe: The Veil iPhone 6/6S (4.7) Premium Ultra Thin Case (Wisp Black) [Eco-friendly retail packaging]","8.74"," In Stock. ","12","351460880092","The First Years Disney Doc Mc Stuffins Insulated Sippy Cup  9 Ounce (Color and","16.44","http://www.ebay.com/sch/Sippy Cups & Mugs/117387/i.html","fanteller",
"13","B001AWFGDI","Allen Company Knit Gun Sock fits Guns with Large Scopes (52 inch)","7.44"," In Stock. ","13","351460882019","Hand and Foot Teethers New","10.49","http://www.ebay.com/sch/Teethers/121627/i.html","fanteller",
"14","B0006NDBYI","Ballerina Jewelry Box","13.99"," In Stock. ","14","381337218565","MIMOS Baby Pillow (XXL) - Air flow Safety ( TUV certification) - Size XXL (5-","142.6","http://www.ebay.com/sch/Filters & Lubricators/56991/i.html","fanteller",
"15","B000MBDKKE","Kaiser Doll Stand 2101 - White Doll Stand for 8 to 12 Dolls and Action Figures","6.16"," In Stock. ","15","351432393716","Tetra 25994 Bio Foam Grid Replacement Kit with Whisper 30/40/60 Power Filter New","14.67","http://www.ebay.com/sch/Filters/46310/i.html","fanteller",
"16","B004PW6RHY","Shimano PTFE Road Shift Cable and Housing Set","23.25"," In Stock. ","16","281729001331","Clean & Easy Wax Refill 6-pack Large Vitamin E  Net Wt. 16.8 oz New","15.19","http://www.ebay.com/sch/Waxing Supplies/82565/i.html","fanteller",
"17","B000BL86A4","Post-it Notes  Original Pop-up Refill  3 Inches x 3 Inches   Canary Yellow  1 Pad","7.35"," In Stock. ","17","281755176499","Northpoint 190503 AM/FM Vintage Radio New","12.29","http://www.ebay.com/sch/Portable Stereos  Boomboxes/48626/i.html","fanteller",
"18","B00J61901Y","Motorola IT6 DECT 6.0 Digital Cordless Home Phone with Answering Machine","48.97"," In Stock. ","18","381368537022","Cellularvilla Leather Case For Samsung Galaxy Tab 4 7" Inch SM-T230 Tablet New","15.2","http://www.ebay.com/sch/Cases  Covers  Keyboard Folios/176973/i.html","fanteller",
"19","B000NSQNOG","Just For Men Original Formula Men's Hair Color  Light Medium Brown (Pack of 3)","20.97"," In Stock. ","19","281729003614","Cable Matters Active Micro HDMI to VGA Adapter with Micro-USB Power in Black New","34.31","http://www.ebay.com/sch/Video Cables & Interconnects/32834/i.html","fanteller",
"20","B000G72TRY","Hunter's Specialties Retract-A-Drag","10.48"," In Stock. ","20","351460885586","Sweet Potato Swizzle Diaper Stacker  Pink/Grey/White New","43.43","http://www.ebay.com/sch/Diaper Stackers/134758/i.html","fanteller",
"21","B00I2GBCCY","Fitbit Clip for Fitbit One Wireless Activity and Sleep Trackers - Black","14.95"," In Stock. ","21","281755184015","My Baby Sam Pixie Baby Mobile  Aqua New","47.89","http://www.ebay.com/sch/Mobiles/20429/i.html","fanteller",
"22","B004LU1U2M","Mediabridge 3.5mm Male To Male Stereo Audio Cable (8 Feet) - Step Down Design for iPhone  iPod  Smartphone  Tablet and MP3 Cases","5.99"," In Stock. ","22","351432401904","Jacobson Hat Co. Inc. J19622 Adult Gator Hat New","13.98","http://www.ebay.com/sch/Hats & Headgear/155349/i.html","fanteller",
"23","B000CRIBC0","thinkThin High Protein Bars  Chocolate Fudge  2.1 Ounce (pack of 10)","15.34"," In Stock. ","23","381735934996","McFarlane Toys Classic Hockey Goal Display Set New","63.1","http://www.ebay.com/sch/Goals & Nets/165936/i.html","fanteller",
"24","B000GPRZSO","CLIF BUILDER'S - Protein Bar - Chocolate Mint - (2.4 oz  12 Count)","13.11"," In Stock. ","24","381703155338","Waist Trimmer  Danibos Adjustable Trim Belt Lose Weight Lower Back & Lumbar New","34.22","http://www.ebay.com/sch/Other Weight Management/11781/i.html","fanteller",
"25","B003XCR5MS","Bordered Gauze 6 X 6 Latex Free (Pack of 10) By DermaRite","10.99"," In Stock. ","25","281833046093","Pet Dog Yellowgreen Ball Rubber Squeak Squeaker Chew Toss Toy New","8.43","http://www.ebay.com/sch/Toys/177791/i.html","fanteller",
